,country,name,latitude,longitude,primary_fuel,capacity_mw
250,ARG,LA CRUZ,-29.1762,-56.6394,Oil,1.33
252,ARG,LA RIOJA,-29.3823,-66.8325,Oil,42.0
265,ARG,MBURUCUYA,-28.0441,-58.2285,Oil,1.035
266,ARG,MERCEDES,-29.1808,-58.0793,Oil,2.308
273,ARG,NUEVA ESPERANZA,-26.2072,-64.2477,Oil,3.38
276,ARG,ORENSE,-38.6851,-59.7804,Oil,1.72
285,ARG,PASO DE LOS LIBRES,-29.7148,-57.0933,Oil,2.135
287,ARG,PERUGORRIA,-29.34,-58.6077,Oil,1.11
309,ARG,SAN MARTIN DE LOS ANDES,-40.1511,-71.334,Oil,4.218
311,ARG,SAN PEDRO,-26.6253,-54.1102,Oil,2.216
313,ARG,SANTA ISABEL,-36.2314,-66.9381,Oil,2.25
314,ARG,SANTO TOME,-28.5497,-56.0722,Oil,2.684
320,ARG,TOSTADO,-29.2352,-61.7577,Oil,3.2
323,ARG,VENADO TUERTO,-33.7777,-61.9555,Oil,9.1
