,country,name,latitude,longitude,primary_fuel,capacity_mw
119,ARG,CENTRAL BAHIA BLANCA (PIEDRA BUENA) SA,-38.7872,-62.2536,Coal,620.0
126,ARG,CENTRAL TERMICA GÜEMES SA,-24.6894,-65.0425,Coal,361.0
141,ARG,COSTANERA,-34.626,-58.3393,Coal,1982.2
164,ARG,CT ECOENERGIA (PETROBRAS),-38.6871,-62.3961,Coal,13.2
268,ARG,NECOCHEA,-38.5785,-58.7108,Coal,206.0
293,ARG,PILAR ZANICHELLI,-31.6662,-63.8344,Coal,216.0
299,ARG,PUERTO NUEVO,-34.5754,-58.3788,Coal,589.0
310,ARG,SAN NICOLAS,-33.3562,-60.1729,Coal,644.0
315,ARG,SORRENTO,-32.9053,-60.6807,Coal,226.0
