,country,name,latitude,longitude,primary_fuel,capacity_mw
101,ARG,ATUCHA I,-33.967,-59.2059,Nuclear,370.0
102,ARG,ATUCHA II,-33.9674,-59.2045,Nuclear,745.0
229,ARG,EMBALSE,-32.2316,-64.4422,Nuclear,648.0
